UNIX timestamp [s],Time UTC,Power [W]
1605177467,2020-11-12 10:37:47,-4.348993210926637
1605177527,2020-11-12 10:38:47,-4.334148148630511
1605177587,2020-11-12 10:39:47,-4.361243062272414
1605177647,2020-11-12 10:40:47,-4.3474806309380485
1605177707,2020-11-12 10:41:47,-4.343876161058026
1605177767,2020-11-12 10:42:47,-4.343838254891161
1605177827,2020-11-12 10:43:47,-4.340201151795812
1605177887,2020-11-12 10:44:47,-4.339188313904636
1605177947,2020-11-12 10:45:47,-4.341258634491818
1605178007,2020-11-12 10:46:47,-4.331006008984709
1605178067,2020-11-12 10:47:47,-4.348573310281747
1605178128,2020-11-12 10:48:48,-4.343558165368862
1605178188,2020-11-12 10:49:48,-4.339851108435638
1605178248,2020-11-12 10:50:48,-4.346406804031725
1605178308,2020-11-12 10:51:48,-4.347154261208166
1605178368,2020-11-12 10:52:48,-4.347434556497038
1605178428,2020-11-12 10:53:48,-4.337810821072298
1605178488,2020-11-12 10:54:48,-4.352500558509376
1605178548,2020-11-12 10:55:48,-4.350235249934209
1605178608,2020-11-12 10:56:48,-4.347928688275566
1605178668,2020-11-12 10:57:48,-4.345468970567384
1605178729,2020-11-12 10:58:49,-4.350851962631555
1605178789,2020-11-12 10:59:49,-4.335446859775477
1605178849,2020-11-12 11:00:49,-4.351379655834625
1605178909,2020-11-12 11:01:49,-4.345536482442467
1605178969,2020-11-12 11:02:49,-4.33905760632885
1605179029,2020-11-12 11:03:49,-4.349393743834778
1605179089,2020-11-12 11:04:49,-4.34189726310909
1605179149,2020-11-12 11:05:49,-4.34853169558785
1605179209,2020-11-12 11:06:49,-4.3541077347450345
1605179269,2020-11-12 11:07:49,-4.344331672801862
1605179329,2020-11-12 11:08:49,-4.3438833690532785
1605179389,2020-11-12 11:09:49,-4.345135826807666
1605179449,2020-11-12 11:10:49,-4.354212340300878
1605179509,2020-11-12 11:11:49,-4.348065772459895
1605179569,2020-11-12 11:12:49,-4.337385603404421
1605179629,2020-11-12 11:13:49,-4.353256850718478
1605179689,2020-11-12 11:14:49,-4.341498009096274
1605179749,2020-11-12 11:15:49,-4.350195339840464
1605179809,2020-11-12 11:16:49,-4.352897499167301
1605179869,2020-11-12 11:17:49,-4.3387187869885455
1605179930,2020-11-12 11:18:50,-4.338139772910685
1605179990,2020-11-12 11:19:50,-4.360396947690336
1605180050,2020-11-12 11:20:50,-4.35110962647161
1605180110,2020-11-12 11:21:50,-4.342448777989616
1605180170,2020-11-12 11:22:50,-4.355483433996295
1605180230,2020-11-12 11:23:50,-4.334569172985304
1605180290,2020-11-12 11:24:50,-4.3520472209623975
1605180350,2020-11-12 11:25:50,-4.3439105569669705
1605180410,2020-11-12 11:26:50,-4.336573673712098
1605180470,2020-11-12 11:27:50,-4.337060928682244
1605180530,2020-11-12 11:28:50,-4.336955760448368
1605180590,2020-11-12 11:29:50,-4.33589767026961
1605180650,2020-11-12 11:30:50,-4.343058755041957
1605180710,2020-11-12 11:31:50,-4.33782717228615
1605180770,2020-11-12 11:32:50,-4.3406283938026275
1605180830,2020-11-12 11:33:50,-4.3559083808454275
1605180891,2020-11-12 11:34:51,-4.346519510385245
1605180951,2020-11-12 11:35:51,-4.342204958034254
1605181011,2020-11-12 11:36:51,-4.346807432131238
